"tweet_id";"permalink";"username";"to_person";"text";"tweet_created_dt";"retweets";"favorites";"mentions";"hashtags";"geo";"record_inserted_date";"state";"radius";"search_keyword"
"1266078311299665920";"https://twitter.com/FHSafrica/status/1266078311299665920";"FHSafrica";"";"Call 9-1-1 I’m black #BlackLivesMatter";"2020-05-28 18:46:06";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266078765425270784";"https://twitter.com/_auken_/status/1266078765425270784";"_auken_";"";" #BlackLivesMatter #NoMoreMarches";"2020-05-28 18:47:54";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter #NoMoreMarches";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266078949496381440";"https://twitter.com/darin_toliver/status/1266078949496381440";"darin_toliver";"";"He deliberately took George Floyd’s life. Remember, these historical policies and practices are entrenched in American democracy. Rinse and repeat is the mantra. . #Facts … https://www.instagram.com/p/CAvf6H_BZb5wei2wImXX41ym4AN0DfJIXJeLLk0/?igshid=12rtchg6o90bd";"2020-05-28 18:48:38";"0";"0";"";"#Facts";"";"2020-07-29 14:26:57";"District of Columbia";"200mi";"georgesfloyd"
"1266079614599868416";"https://twitter.com/louisrcasper/status/1266079614599868416";"louisrcasper";"";"#blacklivesmatter #alllivesmatter #humanbeingsmatter #justiceforgeorgefloyd @Stillwater, New Jersey https://www.instagram.com/p/CAvgNZ4ArJo/?igshid=1h715bx56gcui";"2020-05-28 18:51:17";"0";"1";"";"#blacklivesmatter #blacklivesmatter #alllivesmatter #humanbeingsmatter #justiceforgeorgefloyd";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266079797991608321";"https://twitter.com/abkgardner/status/1266079797991608321";"abkgardner";"";"#target #BlackLivesMatter #minneapolisriots #spotify #podcast #GeorgeFloyd";"2020-05-28 18:52:01";"0";"0";"";"#target #BlackLivesMatter #BlackLivesMatter #minneapolisriots #spotify #podcast #GeorgeFloyd";"";"2020-07-29 14:26:57";"District of Columbia";"200mi";"georgesfloyd"
"1266080712907788293";"https://twitter.com/LucyManjikian/status/1266080712907788293";"LucyManjikian";"";"“ If you are neutral in situations of injustice, you have chosen the side of the oppressor.” #BlackLivesMatter";"2020-05-28 18:55:39";"0";"2";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266081167624855560";"https://twitter.com/real215allday/status/1266081167624855560";"real215allday";"";"New visual drop june 1 ( Project 60 x Moody56k) https://youtu.be/hTtcLjZXilg Follow Cak the team #philly #UndergroundHipHop #Caktheteam #BlackLivesMatter – at Fairmount Park";"2020-05-28 18:57:27";"0";"2";"";"#philly #UndergroundHipHop #Caktheteam #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266081234259718145";"https://twitter.com/Poppa_Adams/status/1266081234259718145";"Poppa_Adams";"";"The fact George Floyd is dead meanwhile Dylan Roof, Patrick Crusius, James Holmes, Robert Bowers and Nikolas Cruz are alive doesn’t sit right with me and it shouldn’t sit right with anyone.";"2020-05-28 18:57:43";"0";"2";"";"";"";"2020-07-29 14:26:57";"District of Columbia";"200mi";"georgesfloyd"
"1266081627811319808";"https://twitter.com/theanswersofmay/status/1266081627811319808";"theanswersofmay";"niallssl0whands";"#BlackLivesMatter";"2020-05-28 18:59:17";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266082631071997952";"https://twitter.com/Fxmous_Dame/status/1266082631071997952";"Fxmous_Dame";"";"Black lives matter ";"2020-05-28 19:03:16";"0";"0";"";"";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266083255108935689";"https://twitter.com/SupermanMarc/status/1266083255108935689";"SupermanMarc";"";"I know people who are coons and play both sides of the field. Hey, I’m order to stay in good standing with the Devils you will do anything. #NoJusticeNoPeace #BlackLivesMatter #JusticeForGeorgeFloyd";"2020-05-28 19:05:45";"0";"0";"";"#NoJusticeNoPeace #BlackLivesMatter #BlackLivesMatter #JusticeForGeorgeFloyd";"";"2020-07-29 11:18:32";"District of Columbia";"100mi";"BlackLivesMatter"
"1266083482499010560";"https://twitter.com/miamimellymel/status/1266083482499010560";"miamimellymel";"";"White privilege is real bc I can do all of this w/o thinking twice: I can -go birding in the Park (#ChristianCooper) -go jogging (#AmaudArbery) -breathe (#EricGarner) -live (#FreddieGray) I CAN BE ARRESTED WITHOUT THE FEAR OF BEING MURDERED (#GeorgeFloyd) #BlackLivesMatter";"2020-05-28 19:06:39";"0";"0";"";"#ChristianCooper #AmaudArbery #EricGarner #FreddieGray #GeorgeFloyd #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:26:57";"District of Columbia";"200mi";"georgesfloyd"
"1266083488521912321";"https://twitter.com/miamimellymel/status/1266083488521912321";"miamimellymel";"";"I can relax in the comfort of my own home (#BothemSean and #AtatianaJefferson) I can ask for help after being in a car crash (#JonathanFerrell and #RenishaMcBride) I can have a cellphone (#StephonClark) I can leave a party to get to safety (#JordanEdwards) #BlackLivesMatter";"2020-05-28 19:06:41";"0";"0";"";"#BothemSean #AtatianaJefferson #JonathanFerrell #RenishaMcBride #StephonClark #JordanEdwards #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:12";"District of Columbia";"200mi";"BlackLivesMatter"
"1266083490799521792";"https://twitter.com/miamimellymel/status/1266083490799521792";"miamimellymel";"";"I can walk home with Skittles (#TrayvonMartin) I can have a disabled vehicle (#TerrenceCrutcher) I can read a book in my own car (#KeithScott) I can be a 10yr old walking with our grandfather (#CliffordGlover) I can decorate for a party (#ClaudeReese) #BlackLivesMatter";"2020-05-28 19:06:41";"0";"0";"";"#TrayvonMartin #TerrenceCrutcher #KeithScott #CliffordGlover #ClaudeReese #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:11";"District of Columbia";"200mi";"BlackLivesMatter"
"1266083495039959045";"https://twitter.com/miamimellymel/status/1266083495039959045";"miamimellymel";"";"I can play loud music (#JordanDavis) I can sell CDs (#AltonSterling) I can sleep (#AiyanaJones) I can walk from the corner store (#MikeBrown) I can play cops and robbers (#TamirRice) I can go to church (#Charleston9) #BlackLivesMatter";"2020-05-28 19:06:42";"0";"0";"";"#JordanDavis #AltonSterling #AiyanaJones #MikeBrown #TamirRice #Charleston9 #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:11";"District of Columbia";"200mi";"BlackLivesMatter"
"1266083784845393923";"https://twitter.com/ihatekael/status/1266083784845393923";"ihatekael";"";"TL has been poppin the last few days. So in case you’re just checking in, I don’t have shit to promote just want to tell you to support content creators by purchasing and interacting, Black Lives Matter, All Cops Are Bastards, Bernie Sanders is the ONLY way.";"2020-05-28 19:07:51";"0";"5";"";"";"";"2020-07-29 14:14:11";"District of Columbia";"200mi";"BlackLivesMatter"
"1266083804361490439";"https://twitter.com/drstacysmall/status/1266083804361490439";"drstacysmall";"MayorFrey";"Have you arrested the murdering police officers and their accomplices yet? That would be one good step towards keeping the peace @MayorFrey #BlackLivesMatter ";"2020-05-28 19:07:56";"0";"0";"@MayorFrey";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:11";"District of Columbia";"200mi";"BlackLivesMatter"
"1266083846304542725";"https://twitter.com/cody_council16/status/1266083846304542725";"cody_council16";"";"When I can walk through my neighborhood or go out in public and my parents not worry about me not returning. That is privilege. “When the color of your skin is seen as a weapon, you will never be seen as unarmed.” We MUST do better! #BlackLivesMatter";"2020-05-28 19:08:06";"0";"5";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:11";"District of Columbia";"200mi";"BlackLivesMatter"
