text,tweet_text,lemma_tweet_text
"16 Y/O BRAD LEVI AYALA WAS HIT IN THE HEAD BY A SNIPER WHILE PEACEFULLY PROTESTING IN AUSTIN, TEXAS!! SIGNAL BOOST THIS, DONT LET THIS GO UNSEEN! HE WAS JUST STANDING THERE, IM FUCKING LIVID. #DictatorTrump #protests2020 #GeorgeFlyod #MartialLaw #BlackLivesMatter ","['16', 'y/o', 'brad', 'levi', 'ayala', 'was', 'hit', 'in', 'the', 'head', 'by', 'a', 'sniper', 'while', 'peacefully', 'protesting', 'in', 'austin', 'texas', 'signal', 'boost', 'this', 'do', 'nt', 'let', 'this', 'go', 'unseen', 'he', 'was', 'just', 'standing', 'there', 'im', 'fucking', 'livid', 'dictatortrump', '#protests2020', 'georgeflyod', 'martial', 'law', 'blacklivesmatter']","['16', ""'y"", ""o'"", 'brad', 'levi', 'ayala', 'be', 'hit', 'in', ""the'"", 'head', 'by', ""a'"", 'sniper', 'while', 'peacefully', 'protest', 'in', 'austin', 'texas', 'signal', 'boost', 'this', ""do'"", 'not', 'let', 'this', 'go', 'unseen', 'he', 'be', 'just', 'stand', 'there', 'im', 'fuck', 'livid', 'dictatortrump', '#protest', '2020', 'georgeflyod', 'martial', 'law', 'blacklivesmatter']"
Look at John McCain's Daughter making sense ..... #BlackLivesMatter ,"['look', 'at', 'john', 'mccain', 'is', 'daughter', 'making', 'sense', 'blacklivesmatter']","['look', 'at', 'john', 'mccain', 'be', 'daughter', 'make', 'sense', 'blacklivesmatter']"
Saw this on Tik Tok and honestly broke my heart. We need to spread awareness. #BlackLivesMatters ,"['saw', 'this', 'on', 'tik', 'tok', 'and', 'honestly', 'broke', 'my', 'heart', 'we', 'need', 'to', 'spread', 'awareness', 'blacklivesmatters']","[""'saw"", 'this', 'of', 'and', 'tik', 'tok', 'and', 'honestly', 'break', 'my', 'heart', ""we'"", 'need', ""to'"", 'spread', 'awareness', 'blacklivesmatters']"
Black Lives Matter! Hispanic Lives Matter! Asian Lives Matter! Muslim Lives Matter. ....now here's the kicker. ...hold on and I hope you're sitting down this and get the kids out of the room cause what I'm gonna say will be rather explosive.....but ...White Lives Matter too.,"['black', 'lives', 'matter', 'hispanic', 'lives', 'matter', 'asian', 'lives', 'matter', 'muslim', 'lives', 'matter', 'now', 'here', 'is', 'the', 'kicker', 'on', 'and', 'i', 'hope', 'you', 'are', 'sitting', 'down', 'this', 'and', 'get', 'the', 'kids', 'out', 'of', 'the', 'room', 'cause', 'what', 'i', 'am', 'gon', 'na', 'say', 'will', 'be', 'rather', 'explosive', 'but', 'white', 'lives', 'matter', 'too']","['black', 'life', 'matter', 'hispanic', 'life', 'matter', 'asian', 'life', 'matter', 'muslim', 'life', 'matter', 'now', 'here', 'be', ""the'"", 'kicker', 'on', 'and', ""i'"", 'hope', 'you', 'be', 'sit', 'dow', 'and', 'this', 'and', 'get', ""the'"", 'kid', 'out', 'of', ""the'"", 'room', 'cause', 'what', ""i'"", 'be', 'go', ""na'"", 'say', 'will', ""be'"", 'rather', 'explosive', 'but', 'white', 'life', 'matter', 'too']"
"Another remarkable visual: Peaceful #GeorgeFloyd demonstrators here outside the White House are now sitting, phone lights on, singing “Lean On Me” — all while military and federal police stand in front of military vehicles guarding the White House. ","['another', 'remarkable', 'visual', 'peaceful', 'george', 'floyd', 'demonstrators', 'here', 'outside', 'the', 'white', 'house', 'are', 'now', 'sitting', 'phone', 'lights', 'on', 'singing', 'lean', 'on', 'me', 'all', 'while', 'military', 'and', 'federal', 'police', 'stand', 'in', 'front', 'of', 'military', 'vehicles', 'guarding', 'the', 'white', 'house']","['another', 'remarkable', 'visual', 'peaceful', 'george', 'floyd', 'demonstrator', 'here', 'outside', ""the'"", 'white', 'house', 'be', 'now', 'sit', 'phone', 'light', 'on', 'singing', 'lean', 'on', ""me'"", 'all', 'while', 'military', 'and', 'federal', 'police', 'stand', 'in', 'front', 'of', 'military', 'vehicle', 'guard', ""the'"", 'white', 'house']"
Week four is underway in Detroit. #DetroitWillBreathe #BlackLivesMatter ,"['week', 'four', 'is', 'underway', 'in', 'detroit', 'detroitwillbreathe', 'blacklivesmatter']","['week', 'four', ""'"", 'be', 'underway', 'in', 'detroit', 'detroitwillbreathe', 'blacklivesmatter']"
This woman lays waste to “Black Lives Matter” that looted her business as she watched #BLM https://twitter.com/Mus1yMustafa/status/1267852417409916928/video/1,"['this', 'woman', 'lays', 'waste', 'to', 'black', 'lives', 'matter', 'that', 'looted', 'her', 'business', 'as', 'she', 'watched', 'blm']","['this', 'woman', 'lay', 'waste', ""to'"", 'black', 'life', 'matter', 'that', 'loot', 'she', 'business', 'as', ""she'"", 'watch', 'blm']"
"On Tuesday, #GeorgeFloyd was killed by police in an incident in #Minneapolis, captured on video, where an officer knelt on his neck for nine minutes as he lay on the ground. George’s family say they want the “four officers involved in his death to be charged with #MURDER”.","['on', 'tuesday', 'georgefloyd', 'was', 'killed', 'by', 'police', 'in', 'an', 'incident', 'in', 'minneapolis', 'captured', 'on', 'video', 'where', 'an', 'officer', 'knelt', 'on', 'his', 'neck', 'for', 'nine', 'minutes', 'as', 'he', 'lay', 'on', 'the', 'ground', 'george', 'is', 'family', 'say', 'they', 'want', 'the', 'four', 'officers', 'involved', 'in', 'his', 'death', 'to', 'be', 'charged', 'with', 'murder']","[""'o"", ""n'"", 'tuesday', 'georgefloyd', 'be', 'kill', 'by', 'police', 'in', 'a', 'incident', 'in', 'minneapolis', 'capture', 'on', 'video', 'where', 'a', 'officer', 'kneld', 'on', 'he', 'neck', 'for', 'nine', 'minute', 'as', 'he', 'lay', 'on', ""the'"", 'ground', 'george', 'be', 'family', 'say', 'they', 'want', ""the'"", 'four', 'officer', 'involved', 'in', 'he', 'death', ""to'"", ""be'"", 'charge', 'with', 'murder']"
Most people already know that I express myself through my art/ nails so here’s my latest set. #BlackLivesMatter period. ,"['most', 'people', 'already', 'know', 'that', 'i', 'express', 'myself', 'through', 'my', 'art', 'nails', 'so', 'here', 'is', 'my', 'latest', 'set', 'blacklives', 'matter', 'period']","['most', 'people', 'already', 'know', 'that', ""i'"", 'express', 'myself', 'through', 'my', 'art', 'nail', ""so'"", 'here', 'be', 'my', 'latest', 'set', 'blacklive', 'matter', 'period']"
"While he hides behind his fence afraid/alone, I stand w/ people peacefully exercising their First Amendment Right after the murder of #GeorgeFloyd &amp; hundreds of years of institutional racism There are no vicious dogs &amp; ominous weapons. There is just a scared man. Afraid/alone...","['while', 'he', 'hides', 'behind', 'his', 'fence', 'afraid', 'alone', 'i', 'stand', 'w/', 'people', 'peacefully', 'exercising', 'their', 'first', 'amendment', 'right', 'after', 'the', 'murder', 'of', 'georgefloyd', 'hundreds', 'of', 'years', 'of', 'institutional', 'racism', 'there', 'are', 'no', 'vicious', 'dogs', 'ominous', 'weapons', 'there', 'is', 'just', 'a', 'scared', 'man', 'afraid', 'alone']","['while', ""he'"", 'hide', 'behind', 'he', 'fence', 'afraid', 'alone', ""i'"", 'stand', 'with', 'people', 'peacefully', 'exercising', 'they', 'first', 'amendment', 'right', 'after', ""the'"", 'murder', 'of', 'georgefloyd', 'hundred', 'of', 'year', 'of', 'institutional', 'racism', 'there', 'be', ""no'"", 'vicious', 'dog', 'ominous', 'weapon', 'there', 'be', 'just', 'a', 'scared', 'man', 'afraid', 'alone']"
Just finished a 12 hour shift & I had no patience for the foolishness. Back to the message.. today is #Juneteenth &amp; #BlackLivesMatter! ,"['just', 'finished', 'a', '12', 'hour', 'shift', '&', 'i', 'had', 'no', 'patience', 'for', 'the', 'foolishness', 'back', 'to', 'the', 'message', 'today', 'is', 'juneteenth', 'blacklives', 'matter']","['just', 'finish', 'a', '12', 'hour', 'shift', '&', ""i'"", 'have', ""no'"", 'patience', 'for', ""the'"", 'foolishness', 'back', ""to'"", ""the'"", 'message', 'today', 'be', 'juneteenth', 'blacklive', 'matter']"
